title,,genres
Toy Story,=>,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
Jumanji,=>,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]"
Grumpier Old Men,=>,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]"
Waiting to Exhale,=>,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Father of the Bride Part II,=>,"[{'id': 35, 'name': 'Comedy'}]"
Heat,=>,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
Sabrina,=>,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
Tom and Huck,=>,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
Sudden Death,=>,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]"
GoldenEye,=>,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
The American President,=>,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Dracula: Dead and Loving It,=>,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]"
Balto,=>,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]"
Nixon,=>,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]"
Cutthroat Island,=>,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]"
Casino,=>,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
Sense and Sensibility,=>,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Four Rooms,=>,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]"
Ace Ventura: When Nature Calls,=>,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]"
Money Train,=>,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]"
Get Shorty,=>,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
Copycat,=>,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
Assassins,=>,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
